"tab_code","表章項目","cat01_code","H24_産業分類","area_code","H24_地域","time_code","時間軸","unit","value"
"811","事業所数","13835","小売業計","13204","三鷹市","2012000000","2012年","","573"
"811","事業所数","13835","小売業計","13205","青梅市","2012000000","2012年","","663"
"811","事業所数","13835","小売業計","13206","府中市","2012000000","2012年","","896"
"811","事業所数","13835","小売業計","13207","昭島市","2012000000","2012年","","510"
"811","事業所数","13835","小売業計","13208","調布市","2012000000","2012年","","865"
"811","事業所数","13835","小売業計","13209","町田市","2012000000","2012年","","1728"
"811","事業所数","13835","小売業計","13210","小金井市","2012000000","2012年","","409"
"811","事業所数","13835","小売業計","13211","小平市","2012000000","2012年","","656"
"811","事業所数","13835","小売業計","13212","日野市","2012000000","2012年","","472"
"811","事業所数","13835","小売業計","13213","東村山市","2012000000","2012年","","511"
"811","事業所数","13835","小売業計","13214","国分寺市","2012000000","2012年","","449"
"811","事業所数","13835","小売業計","13215","国立市","2012000000","2012年","","357"
"811","事業所数","13835","小売業計","13218","福生市","2012000000","2012年","","297"
"811","事業所数","13835","小売業計","13219","狛江市","2012000000","2012年","","262"
"811","事業所数","13835","小売業計","13220","東大和市","2012000000","2012年","","376"
"811","事業所数","13835","小売業計","13221","清瀬市","2012000000","2012年","","294"
"811","事業所数","13835","小売業計","13222","東久留米市","2012000000","2012年","","404"
"811","事業所数","13835","小売業計","13223","武蔵村山市","2012000000","2012年","","385"
"811","事業所数","13835","小売業計","13224","多摩市","2012000000","2012年","","544"
"811","事業所数","13835","小売業計","13225","稲城市","2012000000","2012年","","227"
"811","事業所数","13835","小売業計","13227","羽村市","2012000000","2012年","","259"
"811","事業所数","13835","小売業計","13228","あきる野市","2012000000","2012年","","429"
"811","事業所数","13835","小売業計","13229","西東京市","2012000000","2012年","","784"
"811","事業所数","13835","小売業計","13002","東京都郡部","2012000000","2012年","","728"
