"cat01_code","確報・集計項目","cat02_code","産業分類","area_code","区市郡","unit","value"
"010000000","事業所数","2","小売業計","13218","福生市","","499"
"010000000","事業所数","2","小売業計","13219","狛江市","","402"
"010000000","事業所数","2","小売業計","13220","東大和市","","542"
"010000000","事業所数","2","小売業計","13221","清瀬市","","423"
"010000000","事業所数","2","小売業計","13222","東久留米市","","548"
"010000000","事業所数","2","小売業計","13223","武蔵村山市","","563"
"010000000","事業所数","2","小売業計","13224","多摩市","","736"
"010000000","事業所数","2","小売業計","13225","稲城市","","330"
"010000000","事業所数","2","小売業計","13227","羽村市","","401"
"010000000","事業所数","2","小売業計","13228","あきる野市","","575"
"010000000","事業所数","2","小売業計","13229","西東京市","","1139"
"010000000","事業所数","2","小売業計","14000","神奈川県","","54892"
"010000000","事業所数","2","小売業計","14100","横浜市","","20398"
"010000000","事業所数","2","小売業計","14101","鶴見区","","1618"
"010000000","事業所数","2","小売業計","14102","神奈川区","","1412"
"010000000","事業所数","2","小売業計","14103","西区","","1583"
"010000000","事業所数","2","小売業計","14104","中区","","2079"
"010000000","事業所数","2","小売業計","14105","南区","","1248"
"010000000","事業所数","2","小売業計","14106","保土ケ谷区","","966"
"010000000","事業所数","2","小売業計","14107","磯子区","","801"
"010000000","事業所数","2","小売業計","14108","金沢区","","1073"
"010000000","事業所数","2","小売業計","14109","港北区","","1554"
"010000000","事業所数","2","小売業計","14110","戸塚区","","1037"
"010000000","事業所数","2","小売業計","14111","港南区","","1131"
"010000000","事業所数","2","小売業計","14112","旭区","","1032"
"010000000","事業所数","2","小売業計","14113","緑区","","734"
"010000000","事業所数","2","小売業計","14114","瀬谷区","","652"
"010000000","事業所数","2","小売業計","14115","栄区","","377"
"010000000","事業所数","2","小売業計","14116","泉区","","616"
"010000000","事業所数","2","小売業計","14117","青葉区","","1249"
"010000000","事業所数","2","小売業計","14118","都筑区","","1236"
"010000000","事業所数","2","小売業計","14130","川崎市","","7476"
"010000000","事業所数","2","小売業計","14131","川崎区","","1975"
"010000000","事業所数","2","小売業計","14132","幸区","","1022"
"010000000","事業所数","2","小売業計","14133","中原区","","1355"
"010000000","事業所数","2","小売業計","14134","高津区","","861"
"010000000","事業所数","2","小売業計","14135","多摩区","","977"
"010000000","事業所数","2","小売業計","14136","宮前区","","669"
"010000000","事業所数","2","小売業計","14137","麻生区","","617"
"010000000","事業所数","2","小売業計","14201","横須賀市","","3238"
"010000000","事業所数","2","小売業計","14203","平塚市","","1973"
"010000000","事業所数","2","小売業計","14204","鎌倉市","","1679"
"010000000","事業所数","2","小売業計","14205","藤沢市","","2744"
"010000000","事業所数","2","小売業計","14206","小田原市","","2016"
"010000000","事業所数","2","小売業計","14207","茅ヶ崎市","","1378"
"010000000","事業所数","2","小売業計","14208","逗子市","","433"
"010000000","事業所数","2","小売業計","14209","相模原市","","4076"
"010000000","事業所数","2","小売業計","14210","三浦市","","435"
"010000000","事業所数","2","小売業計","14211","秦野市","","1084"
"010000000","事業所数","2","小売業計","14212","厚木市","","1549"
"010000000","事業所数","2","小売業計","14213","大和市","","1434"
"010000000","事業所数","2","小売業計","14214","伊勢原市","","688"
"010000000","事業所数","2","小売業計","14215","海老名市","","662"
"010000000","事業所数","2","小売業計","14216","座間市","","563"
"010000000","事業所数","2","小売業計","14217","南足柄市","","267"
"010000000","事業所数","2","小売業計","14218","綾瀬市","","377"
"010000000","事業所数","2","小売業計","15000","新潟県","","26783"
"010000000","事業所数","2","小売業計","15100","新潟市","","7854"
"010000000","事業所数","2","小売業計","15101","北区","","574"
"010000000","事業所数","2","小売業計","15102","東区","","946"
"010000000","事業所数","2","小売業計","15103","中央区","","2654"
"010000000","事業所数","2","小売業計","15104","江南区","","628"
"010000000","事業所数","2","小売業計","15105","秋葉区","","687"
"010000000","事業所数","2","小売業計","15106","南区","","528"
"010000000","事業所数","2","小売業計","15107","西区","","1173"
"010000000","事業所数","2","小売業計","15108","西蒲区","","664"
"010000000","事業所数","2","小売業計","15202","長岡市","","3097"
"010000000","事業所数","2","小売業計","15204","三条市","","1190"
"010000000","事業所数","2","小売業計","15205","柏崎市","","977"
"010000000","事業所数","2","小売業計","15206","新発田市","","1164"
"010000000","事業所数","2","小売業計","15208","小千谷市","","467"
"010000000","事業所数","2","小売業計","15209","加茂市","","410"
"010000000","事業所数","2","小売業計","15210","十日町市","","766"
"010000000","事業所数","2","小売業計","15211","見附市","","435"
"010000000","事業所数","2","小売業計","15212","村上市","","498"
"010000000","事業所数","2","小売業計","15213","燕市","","1095"
"010000000","事業所数","2","小売業計","15216","糸魚川市","","616"
"010000000","事業所数","2","小売業計","15217","妙高市","","442"
"010000000","事業所数","2","小売業計","15218","五泉市","","623"
"010000000","事業所数","2","小売業計","15222","上越市","","2399"
"010000000","事業所数","2","小売業計","15223","阿賀野市","","571"
"010000000","事業所数","2","小売業計","15224","佐渡市","","1065"
"010000000","事業所数","2","小売業計","15225","魚沼市","","544"
"010000000","事業所数","2","小売業計","15226","南魚沼市","","704"
"010000000","事業所数","2","小売業計","15227","胎内市","","381"
"010000000","事業所数","2","小売業計","16000","富山県","","13079"
"010000000","事業所数","2","小売業計","16201","富山市","","4578"
"010000000","事業所数","2","小売業計","16202","高岡市","","2318"
"010000000","事業所数","2","小売業計","16204","魚津市","","650"
"010000000","事業所数","2","小売業計","16205","氷見市","","659"
"010000000","事業所数","2","小売業計","16206","滑川市","","427"
"010000000","事業所数","2","小売業計","16207","黒部市","","512"
"010000000","事業所数","2","小売業計","16208","砺波市","","584"
"010000000","事業所数","2","小売業計","16209","小矢部市","","386"
"010000000","事業所数","2","小売業計","16210","南砺市","","856"
"010000000","事業所数","2","小売業計","16211","射水市","","1058"
"010000000","事業所数","2","小売業計","17000","石川県","","12632"
"010000000","事業所数","2","小売業計","17201","金沢市","","4787"
"010000000","事業所数","2","小売業計","17202","七尾市","","911"
"010000000","事業所数","2","小売業計","17203","小松市","","1170"
"010000000","事業所数","2","小売業計","17204","輪島市","","511"
"010000000","事業所数","2","小売業計","17205","珠洲市","","359"
"010000000","事業所数","2","小売業計","17206","加賀市","","837"
"010000000","事業所数","2","小売業計","17207","羽咋市","","339"
"010000000","事業所数","2","小売業計","17209","かほく市","","313"
"010000000","事業所数","2","小売業計","17210","白山市","","971"
"010000000","事業所数","2","小売業計","17211","能美市","","434"
"010000000","事業所数","2","小売業計","18000","福井県","","9380"
"010000000","事業所数","2","小売業計","18201","福井市","","3273"
"010000000","事業所数","2","小売業計","18202","敦賀市","","747"
"010000000","事業所数","2","小売業計","18204","小浜市","","468"
"010000000","事業所数","2","小売業計","18205","大野市","","495"
"010000000","事業所数","2","小売業計","18206","勝山市","","329"
"010000000","事業所数","2","小売業計","18207","鯖江市","","668"
"010000000","事業所数","2","小売業計","18208","あわら市","","334"
"010000000","事業所数","2","小売業計","18209","越前市","","1051"
"010000000","事業所数","2","小売業計","18210","坂井市","","888"
"010000000","事業所数","2","小売業計","19000","山梨県","","9028"
"010000000","事業所数","2","小売業計","19201","甲府市","","2393"
"010000000","事業所数","2","小売業計","19202","富士吉田市","","645"
"010000000","事業所数","2","小売業計","19204","都留市","","396"
"010000000","事業所数","2","小売業計","19205","山梨市","","378"
"010000000","事業所数","2","小売業計","19206","大月市","","323"
"010000000","事業所数","2","小売業計","19207","韮崎市","","294"
"010000000","事業所数","2","小売業計","19208","南アルプス市","","504"
"010000000","事業所数","2","小売業計","19209","北杜市","","565"
"010000000","事業所数","2","小売業計","19210","甲斐市","","422"
"010000000","事業所数","2","小売業計","19211","笛吹市","","650"
"010000000","事業所数","2","小売業計","19212","上野原市","","256"
"010000000","事業所数","2","小売業計","19213","甲州市","","350"
"010000000","事業所数","2","小売業計","19214","中央市","","271"
"010000000","事業所数","2","小売業計","20000","長野県","","21711"
"010000000","事業所数","2","小売業計","20201","長野市","","3524"
"010000000","事業所数","2","小売業計","20202","松本市","","2410"
"010000000","事業所数","2","小売業計","20203","上田市","","1558"
"010000000","事業所数","2","小売業計","20204","岡谷市","","509"
"010000000","事業所数","2","小売業計","20205","飯田市","","1268"
"010000000","事業所数","2","小売業計","20206","諏訪市","","585"
"010000000","事業所数","2","小売業計","20207","須坂市","","526"
"010000000","事業所数","2","小売業計","20208","小諸市","","384"
"010000000","事業所数","2","小売業計","20209","伊那市","","717"
"010000000","事業所数","2","小売業計","20210","駒ヶ根市","","402"
